IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
192.168.6.123,192.168.6.225,38434,22,6,92,239,282,4,5,2,30,26,30,2,2,64,64,92,54,40,78,119500.0,141000.0,0,0,0,0,956000.0,1128000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660061994,1776660061996,0,1,0.6666666666666666,0.5773502691896258,0,1,0.5,0.5773502691896257
192.168.6.225,239.255.255.250,42943,1900,17,12,287,0,2,0,0,0,0,0,0,0,1,1,179,136,122,165,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1776660126678,1776660126678,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,103.6.84.152,41641,3478,17,0,68,60,1,1,243,0,0,0,0,0,54,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126882,1776660127125,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,208.83.234.151,41641,3478,17,0,68,60,1,1,232,0,0,0,0,0,52,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126882,1776660127114,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,208.72.155.133,41641,3478,17,0,68,60,1,1,237,0,0,0,0,0,53,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126681,1776660126918,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38556,22,6,92,239,282,4,5,1,30,26,30,1,0,64,64,92,54,40,78,239000.0,0,0,0,0,0,1912000.0,0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660066143,1776660066144,0,1,0.33333333333333337,0.5773502691896258,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38448,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062085,1776660062086,0,1,0.33333333333333337,0.5773502691896258,0,1,0.25,0.5
192.168.6.225,178.156.134.232,41641,3478,17,0,68,60,1,1,244,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126679,1776660126923,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,46838,22,6,92,2563,3149,17,22,18145,27,27,27,18145,18144,64,64,1106,66,52,1092,141.2510333425186,173.55599647266314,0,0,0,0,1130.0082667401489,1388.4479717813051,31,5,0,1,2,64240,65160,0,0,0,0,0,0,1776660157970,1776660176115,0,3614,1134.0625000000002,1595.5129778538312,0,3613,864.0,1464.7328425347744
192.168.6.225,45.159.97.144,41641,3478,17,0,68,60,1,1,319,0,0,0,0,0,48,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126883,1776660127202,0,0,0.0,0.0,0,0,0.0,0.0
